frame_id,brand,location,size,percentage,x,y,confidence,count,new_id
0,Seiko,Led_Board_Qtr,3007,0.326280382,933.5,287.5,0.999805,1,0
0,Toyota,Led_Board_Qtr,5125,0.55609809,938.5,244.5,0.999521,1,1
0,Toyota,Led_Board_M,28982,3.144748264,369.5,245,0.422019,1,2
0,Toyota,Led_Board_M,9660,1.048177083,417,242.5,0.977898,1,3
1,Toyo_Tires,Led_Board_S,7348,0.797309028,1098.5,253,0.971441,1,4
1,Seiko,Led_Board_Qtr,3186,0.345703125,868,262.5,0.997515,1,0
1,Toyota,Led_Board_Qtr,4200,0.455729167,871,234.5,0.902829,1,1
1,Toyota,Led_Board_M,8260,0.896267361,431,229.5,0.969829,1,3
1,Toyota,Led_Board_M,7560,0.8203125,63,221,0.991289,1,5
2,Toyo_Tires,Led_Board_S,7360,0.798611111,1061,244,0.983235,1,4
2,Seiko,Led_Board_Qtr,1248,0.135416667,882,242,0.838362,1,0
2,Toyota,Led_Board_Qtr,1674,0.181640625,887,224.5,0.957195,1,1
2,Toyota,Led_Board_M,13104,1.421875,126,215,0.999968,1,5
3,Toyo_Tires,Led_Board_S,6090,0.660807292,1050,239.5,0.98132,1,4
3,Seiko,Led_Board_Qtr,1342,0.145616319,886.5,244,0.98724,1,0
3,Toyota,Led_Board_Qtr,2139,0.232096354,888.5,223.5,0.919574,1,1
3,Toyota,Led_Board_M,966,0.104817708,12.5,215,0.535073,1,6
3,Toyota,Led_Board_M,10122,1.098307292,229.5,221,0.999975,1,7
4,Toyo_Tires,Led_Board_S,6624,0.71875,1071.5,219,0.99513,1,4
4,Toyota,Led_Board_M,4578,0.496744792,54.5,194,0.998453,1,6
4,Toyota,Led_Board_M,8600,0.933159722,293.5,199,0.999942,1,7
5,Toyo_Tires,Led_Board_S,5313,0.576497396,1105.5,214.5,0.98901,1,4
5,Seiko,Led_Board_Qtr,1320,0.143229167,880,209,0.62387,1,8
5,Toyota,Led_Board_Qtr,1875,0.203450521,879.5,201.5,0.933288,1,9
5,Toyota,Led_Board_M,5187,0.562825521,66.5,190.5,0.990642,1,6
5,Toyota,Led_Board_M,8040,0.872395833,312.5,197,0.999853,1,7
6,Toyo_Tires,Led_Board_S,3944,0.427951389,1089,212.5,0.972079,1,4
6,Seiko,Led_Board_Qtr,1539,0.166992188,863.5,213.5,0.881944,1,8
6,Toyota,Led_Board_Qtr,2068,0.224392361,863,200,0.997239,1,9
6,Toyota,Led_Board_M,5336,0.578993056,58,190,0.999611,1,6
6,Toyota,Led_Board_M,8280,0.8984375,284.5,195,0.999814,1,7
7,Toyo_Tires,Led_Board_S,4060,0.440538194,964,199.5,0.991767,1,10
7,Seiko,Led_Board_Qtr,836,0.090711806,804,200.5,0.643154,1,8
7,TDK,Led_Board_Qtr,336,0.036458333,716.5,187,0.340179,1,11
7,Toyota,Led_Board_Qtr,1302,0.141276042,804,187.5,0.987233,1,9
7,Toyota,Led_Board_M,6993,0.758789063,275.5,190.5,0.999635,1,7
7,Toyota,Led_Board_M,4902,0.531901042,57,188.5,0.999762,1,6
8,Toyo_Tires,Led_Board_S,2350,0.254991319,906,185.5,0.983796,1,10
8,Seiko,Led_Board_Qtr,396,0.04296875,1266,199,0.55326,1,12
8,Seiko,Led_Board_Qtr,912,0.098958333,782,193.5,0.978976,1,8
8,Toyota,Led_Board_Qtr,840,0.091145833,1259,180,0.963766,1,13
8,Toyota,Led_Board_Qtr,1176,0.127604167,782,177.5,0.969108,1,9
8,Toyota,Led_Board_M,2280,0.247395833,106.5,177,0.878258,1,6
8,Toyota,Led_Board_M,5643,0.612304688,285.5,181.5,0.999896,1,7
9,Seiko,Led_Board_Qtr,1938,0.210286458,1229,194.5,0.946693,1,12
9,Seiko,Led_Board_Qtr,1037,0.112521701,772.5,181.5,0.975197,1,8
9,Toyota,Led_Board_Qtr,1037,0.112521701,772.5,181.5,0.500746,1,9
9,Toyota,Led_Board_Qtr,2134,0.231553819,1231.5,175,0.988936,1,13
9,Toyota,Led_Board_M,5148,0.55859375,71.5,169,0.910944,1,6
9,Toyota,Led_Board_M,4860,0.52734375,306,176,0.999337,1,7
10,Asics_text,Led_Board_Qtr,275,0.02983941,678.5,183.5,0.487992,1,14
10,Seiko,Led_Board_Qtr,1120,0.121527778,1181,194,0.359381,1,12
10,Seiko,Led_Board_Qtr,901,0.097764757,765.5,180.5,0.984015,1,8
10,Toyota,Led_Board_Qtr,2300,0.249565972,1178.5,186,0.898047,1,13
10,Toyota,Led_Board_Qtr,1820,0.197482639,1180.5,177,0.923992,1,13
10,Toyota,Led_Board_Qtr,901,0.097764757,765.5,180.5,0.990439,1,9
10,Toyota,Led_Board_M,6270,0.680338542,103,179.5,0.99202,1,6
10,Toyota,Led_Board_M,3534,0.383463542,346,179.5,0.997707,1,7
10,TDK,Led_Board_M,1782,0.193359375,847,182.5,0.31387,1,15
11,Seiko,Led_Board_Qtr,1258,0.136501736,1134,199.5,0.99941,1,12
11,Toyota,Led_Board_Qtr,1764,0.19140625,1134,187,0.995818,1,13
11,Toyota,Led_Board_M,5075,0.550672743,138.5,193.5,0.999656,1,6
11,TDK,Led_Board_M,780,0.084635417,823.5,189,0.338136,1,15
12,Toyo_Tires,Led_Board_S,1134,0.123046875,858,195.5,0.458163,1,16
12,Seiko,Led_Board_Qtr,800,0.086805556,737,199,0.991393,1,17
12,Seiko,Led_Board_Qtr,1152,0.125,1120,201,0.998624,1,12
12,TDK,Led_Board_Qtr,264,0.028645833,664,185.5,0.321848,1,18
12,Toyota,Led_Board_Qtr,1445,0.156792535,1119.5,189.5,0.990233,1,13
12,Toyota,Led_Board_Qtr,990,0.107421875,735.5,185,0.998965,1,19
12,Toyota,Led_Board_M,5310,0.576171875,136.5,196,0.998259,1,6
12,TDK,Led_Board_M,1134,0.123046875,858,195.5,0.344836,1,15
13,Toyo_Tires,Led_Board_S,2100,0.227864583,840.5,195,0.813557,1,16
13,Seiko,Led_Board_Qtr,525,0.056966146,718.5,201.5,0.757615,1,17
13,Seiko,Led_Board_Qtr,1120,0.121527778,1108,201,0.994978,1,12
13,Toyota,Led_Board_Qtr,1292,0.140190972,1108,189.5,0.906425,1,13
13,Toyota,Led_Board_Qtr,658,0.071397569,725.5,187,0.997445,1,19
13,Toyota,Led_Board_M,4984,0.540798611,123,194,0.999797,1,6
13,London_2017,Grandstand,2544,0.276041667,862,12,0.721376,1,20
14,Toyo_Tires,Led_Board_S,2376,0.2578125,838,202,0.664086,1,16
14,Seiko,Led_Board_Qtr,1343,0.145724826,1114.5,213.5,0.941814,1,12
14,Toyota,Led_Board_Qtr,1680,0.182291667,1114,203,0.802648,1,13
14,Toyota,Led_Board_M,4340,0.470920139,345,202.5,0.944861,1,21
14,Toyota,Led_Board_M,5340,0.579427083,129,201,0.999425,1,6
14,London_2017,Grandstand,3441,0.373372396,865.5,16.5,0.999128,1,20
15,Toyo_Tires,Led_Board_S,2300,0.249565972,840,202.5,0.612488,1,16
15,Seiko,Led_Board_Qtr,1360,0.147569444,1117,214.5,0.986054,1,12
15,Toyota,Led_Board_Qtr,1360,0.147569444,1117,214.5,0.331062,1,13
15,Toyota,Led_Board_Qtr,646,0.070095486,759,197.5,0.448044,1,22
15,Toyota,Led_Board_Qtr,1494,0.162109375,1116.5,203,0.900758,1,13
15,Toyota,Led_Board_M,5568,0.604166667,136,201.5,0.999564,1,6
15,Toyota,Led_Board_M,3726,0.404296875,346,200.5,0.99988,1,21
15,London_2017,Grandstand,3392,0.368055556,870,16,0.994134,1,20
16,Toyo_Tires,Led_Board_S,2575,0.279405382,844.5,207.5,0.652309,1,16
16,Seiko,Led_Board_Qtr,660,0.071614583,751,200.5,0.583825,1,23
16,Seiko,Led_Board_Qtr,1309,0.14203559,1116.5,216.5,0.984458,1,12
16,Toyota,Led_Board_Qtr,1539,0.166992188,1115.5,205.5,0.824297,1,13
16,Toyota,Led_Board_Qtr,660,0.071614583,751,200.5,0.946334,1,22
16,Toyota,Led_Board_M,5340,0.579427083,131,205,0.9996,1,6
16,Toyota,Led_Board_M,3500,0.379774306,331.5,204,0.999884,1,21
16,London_2017,Grandstand,3424,0.371527778,868.5,19,0.99966,1,20
17,Toyota,Bib,3534,0.383463542,964.5,415,0.999247,1,24
19,Toyota,Led_Board_M,6194,0.672092014,1196.5,622,0.999702,1,25
19,Toyota,Led_Board_M,6272,0.680555556,957,621,0.999743,1,26
20,TDK,100m_Start_Board,2080,0.225694444,32,674,0.610575,1,27
20,Toyota,Led_Board_M,7304,0.792534722,591,693,0.318984,1,28
